carat,cut,color,clarity,depth,table,price,x,y,z
0.23,4,5,1,61.28625472887769,55.0,326,3.95,3.98,2.43
0.21,3,5,2,59.76714100905562,61.0,326,3.89,3.84,2.31
0.23,1,5,4,56.89655172413792,65.0,327,4.05,4.07,2.31
0.29,3,1,3,62.39620403321471,58.0,334,4.2,4.23,2.63
0.31,1,0,1,63.29113924050633,58.0,335,4.34,4.35,2.75
0.24,2,0,5,62.78481012658228,57.0,336,3.94,3.96,2.48
0.24,2,1,6,62.295081967213115,57.0,336,3.95,3.98,2.47
0.26,2,2,2,61.858190709046454,55.0,337,4.07,4.11,2.53
0.22,0,5,3,65.09803921568627,61.0,337,3.87,3.78,2.49
0.23,2,2,4,59.378881987577635,61.0,338,4.0,4.05,2.39
0.3,1,0,2,64.00937866354045,55.0,339,4.25,4.28,2.73
0.23,4,0,4,62.83524904214559,56.0,340,3.93,3.9,2.46
0.22,3,4,2,60.362694300518136,61.0,342,3.88,3.84,2.33
0.31,4,0,1,62.155963302752305,54.0,344,4.35,4.37,2.71
0.2,3,5,1,60.212201591511935,62.0,345,3.79,3.75,2.27
0.32,3,5,0,60.909090909090914,58.0,345,4.38,4.42,2.68
0.3,4,1,1,61.96531791907516,54.0,348,4.31,4.34,2.68
0.3,1,0,2,63.38028169014085,54.0,351,4.23,4.29,2.7
0.3,1,0,2,63.839811542991754,56.0,351,4.23,4.26,2.71
0.3,2,0,2,62.735849056603776,59.0,351,4.21,4.27,2.66
0.3,1,1,1,63.3177570093458,56.0,351,4.26,4.3,2.71
0.23,2,5,3,63.83526383526383,55.0,352,3.85,3.92,2.48
0.23,2,2,4,61.01265822784811,57.0,353,3.94,3.96,2.41
0.31,2,0,2,59.410430839002274,62.0,353,4.39,4.43,2.62
0.31,2,0,2,58.13692480359146,62.0,353,4.44,4.47,2.59
0.23,2,3,5,60.40100250626567,58.0,354,3.97,4.01,2.41
0.24,3,1,4,62.45259165613148,57.0,355,3.97,3.94,2.47
0.3,2,0,3,62.23776223776224,57.0,357,4.28,4.3,2.67
0.23,2,6,3,60.5296343001261,61.0,357,3.96,3.97,2.4
0.23,2,4,4,60.880503144654085,57.0,357,3.96,3.99,2.42
0.23,2,4,4,60.02490660024906,57.0,402,4.0,4.03,2.41
0.23,2,4,4,59.75308641975309,57.0,402,4.04,4.06,2.42
0.23,2,5,4,60.6516290726817,59.0,402,3.97,4.01,2.42
0.23,2,5,4,59.47955390334572,58.0,402,4.01,4.06,2.4
0.23,2,6,4,61.92893401015228,58.0,402,3.92,3.96,2.44
0.23,1,4,4,58.23095823095823,59.0,402,4.06,4.08,2.37
0.23,1,5,4,64.0625,59.0,402,3.83,3.85,2.46
0.31,1,2,2,63.95348837209303,54.0,402,4.29,4.31,2.75
0.26,2,6,3,60.79613992762365,59.0,403,4.13,4.16,2.52
0.33,4,1,1,61.77777777777778,55.0,403,4.49,4.51,2.78
0.33,4,1,1,61.179087875417125,56.0,403,4.49,4.5,2.75
0.33,4,0,2,61.061946902654874,56.0,403,4.49,4.55,2.76
0.26,1,6,3,65.1685393258427,56.0,403,3.99,4.02,2.61
0.26,1,6,4,58.362989323843415,63.0,403,4.19,4.24,2.46
0.32,1,2,1,63.14580941446613,56.0,403,4.34,4.37,2.75
0.29,3,4,2,62.35294117647059,58.0,403,4.24,4.26,2.65
0.32,2,2,1,61.80159635119726,55.0,403,4.35,4.42,2.71
0.32,1,2,1,63.84439359267734,56.0,403,4.36,4.38,2.79
0.25,2,5,3,63.262764632627636,60.0,404,4.0,4.03,2.54
0.29,2,2,1,60.6896551724138,60.0,404,4.33,4.37,2.64
0.24,2,4,2,60.86956521739131,61.0,404,4.02,4.03,2.45
0.23,4,3,4,61.92893401015228,54.0,404,3.93,3.95,2.44
0.32,4,1,2,60.91825307950729,55.0,404,4.45,4.48,2.72
0.22,3,5,3,61.636828644501286,58.0,404,3.93,3.89,2.41
0.22,3,6,3,59.306803594351734,62.0,404,3.91,3.88,2.31
0.3,4,1,1,60.950173812282735,59.0,405,4.3,4.33,2.63
0.3,3,0,1,59.25085130533485,61.0,405,4.43,4.38,2.61
0.3,2,1,2,62.602579132473615,57.0,405,4.25,4.28,2.67
0.3,2,1,2,63.02325581395348,57.0,405,4.28,4.32,2.71
0.3,1,1,2,63.23185011709603,55.0,405,4.25,4.29,2.7
0.35,4,1,4,60.89813800657174,57.0,552,4.54,4.59,2.78
0.3,3,6,2,62.58823529411765,59.0,552,4.23,4.27,2.66
0.3,4,6,2,62.48548199767712,57.0,552,4.29,4.32,2.69
0.3,4,6,2,62.10892236384705,56.0,552,4.3,4.33,2.68
0.42,3,1,1,61.53846153846153,59.0,552,4.78,4.84,2.96
0.28,4,3,5,61.35552913198573,56.0,553,4.19,4.22,2.58
0.32,4,1,6,61.9750283768445,55.3,553,4.39,4.42,2.73
0.31,2,3,2,63.267670915411365,57.0,553,4.33,4.3,2.73
0.31,3,3,2,61.82237600922722,58.0,553,4.35,4.32,2.68
0.24,3,5,6,60.69651741293532,58.0,553,4.01,4.03,2.44
0.24,2,6,6,61.480552070263485,60.0,553,3.97,4.0,2.45
0.3,2,2,2,63.08411214953272,56.0,554,4.29,4.27,2.7
0.3,3,2,2,62.910798122065735,59.0,554,4.28,4.24,2.68
0.3,3,2,2,62.52927400468384,57.0,554,4.29,4.25,2.67
0.3,1,2,2,63.700234192037485,57.0,554,4.28,4.26,2.72
0.26,2,4,5,59.21521997621879,60.0,554,4.19,4.22,2.49
0.26,2,5,5,59.90453460620524,58.0,554,4.15,4.23,2.51
0.26,2,6,5,62.36297198538367,54.0,554,4.08,4.13,2.56
0.26,2,6,5,62.779156327543426,60.0,554,4.01,4.05,2.53
0.26,2,5,6,62.57668711656442,59.0,554,4.06,4.09,2.55
0.26,2,5,6,63.43283582089553,59.0,554,4.0,4.04,2.55
0.26,2,6,6,62.08588957055214,60.0,554,4.03,4.12,2.53
0.26,4,5,5,62.87128712871288,58.0,554,4.02,4.06,2.54
0.38,4,1,1,61.587982832618025,56.0,554,4.65,4.67,2.87
0.26,1,5,6,57.851239669421496,60.0,554,4.22,4.25,2.45
0.24,3,3,6,62.26175349428209,59.0,554,3.95,3.92,2.45
0.24,3,2,6,61.22961104140528,58.0,554,4.01,3.96,2.44
0.24,3,2,6,60.84788029925188,59.0,554,4.02,4.0,2.44
0.24,3,2,5,60.66584463625154,58.0,554,4.07,4.04,2.46
0.32,3,1,2,62.903225806451616,58.0,554,4.35,4.33,2.73
0.7,4,5,2,62.521891418563925,57.0,2757,5.7,5.72,3.57
0.86,0,5,1,55.08607198748044,69.0,2757,6.45,6.33,3.52
0.7,4,3,3,61.5655233069481,56.0,2757,5.7,5.67,3.5
0.71,2,5,3,62.40140227870289,57.0,2759,5.68,5.73,3.56
0.78,2,3,1,63.80789022298457,56.0,2759,5.81,5.85,3.72
0.7,1,5,3,57.53191489361702,58.0,2759,5.85,5.9,3.38
0.7,1,4,4,59.285091543156064,62.0,2759,5.71,5.76,3.4
0.96,0,4,1,66.61211129296237,62.0,2759,6.27,5.95,4.07
0.73,2,5,2,61.64502164502165,59.0,2760,5.77,5.78,3.56
0.8,3,2,2,61.51260504201682,58.0,2760,5.97,5.93,3.66
0.75,2,6,2,63.203463203463194,56.0,2760,5.8,5.75,3.65
0.75,3,5,2,59.866220735785944,54.0,2760,6.0,5.96,3.58
0.74,4,3,2,61.630901287553655,55.0,2760,5.8,5.85,3.59
0.75,3,3,3,61.68384879725085,58.0,2760,5.85,5.79,3.59
0.8,4,1,4,62.99745977984759,56.0,2760,5.94,5.87,3.72
0.75,4,3,2,62.2107969151671,55.0,2760,5.87,5.8,3.63
0.8,3,3,2,63.023057216054646,59.0,2760,5.9,5.81,3.69
0.74,4,1,5,62.34887737478412,55.0,2761,5.77,5.81,3.61
0.81,4,4,1,58.77551020408164,57.0,2761,6.14,6.11,3.6
0.59,4,5,5,61.97964847363553,55.0,2761,5.38,5.43,3.35
0.8,4,4,1,61.371237458193974,57.0,2761,5.96,6.0,3.67
0.74,4,5,1,62.19931271477663,56.0,2761,5.8,5.84,3.62
0.9,3,1,3,63.029315960912044,58.0,2761,6.16,6.12,3.87
0.74,2,3,2,62.16450216450215,59.0,2762,5.73,5.82,3.59
0.73,4,4,3,62.55430060816681,56.0,2762,5.77,5.74,3.6
0.73,4,4,3,62.683982683982684,53.0,2762,5.8,5.75,3.62
0.8,3,4,1,61.74496644295301,58.0,2762,5.98,5.94,3.68
0.71,4,3,3,62.36933797909408,54.0,2762,5.72,5.76,3.58
0.7,4,5,3,60.7484769364665,58.0,2762,5.73,5.76,3.49
0.8,4,4,1,59.933774834437095,59.0,2762,6.01,6.07,3.62
0.71,4,6,1,62.34676007005253,56.0,2762,5.73,5.69,3.56
0.74,4,5,2,62.252794496990546,54.0,2762,5.8,5.83,3.62
0.7,2,4,3,61.68888888888889,63.0,2762,5.64,5.61,3.47
0.7,0,4,3,64.5045045045045,57.0,2762,5.57,5.53,3.58
0.7,0,4,3,65.29884032114184,55.0,2762,5.63,5.58,3.66
0.7,3,4,3,61.56583629893239,60.0,2762,5.65,5.59,3.46
0.91,3,2,2,61.35986733001659,56.0,2763,6.09,5.97,3.7
0.61,2,6,5,59.60502692998204,57.0,2763,5.56,5.58,3.32
0.91,0,2,1,64.42622950819673,57.0,2763,6.11,6.09,3.93
0.91,0,2,1,65.72379367720467,60.0,2763,6.03,5.99,3.95
0.77,4,2,3,61.95744680851064,56.0,2763,5.89,5.86,3.64
0.71,2,6,2,63.60424028268551,58.0,2764,5.64,5.68,3.6
0.71,4,6,2,61.87554776511831,59.0,2764,5.69,5.72,3.53
0.7,2,5,3,62.64418811002662,60.0,2765,5.62,5.65,3.53
0.77,2,2,4,61.29032258064515,60.0,2765,5.88,5.9,3.61
0.63,3,5,6,60.88527551942187,60.0,2765,5.52,5.55,3.37
0.71,2,4,4,60.12163336229366,62.0,2765,5.74,5.77,3.46
0.71,3,4,4,61.821366024518376,59.0,2765,5.69,5.73,3.53
0.76,4,2,2,61.23833757421544,57.0,2765,5.88,5.91,3.61
0.64,4,3,6,61.85752930568079,56.0,2766,5.53,5.56,3.43
0.71,3,3,3,60.884648742411095,57.0,2766,5.78,5.75,3.51
0.71,3,3,3,59.82905982905983,56.0,2766,5.89,5.81,3.5
0.7,2,6,3,61.75438596491228,55.0,2767,5.68,5.72,3.52
0.7,2,4,4,59.982862039417306,57.0,2767,5.8,5.87,3.5
0.71,4,6,1,61.56521739130435,55.0,2767,5.74,5.76,3.54
0.7,1,2,5,62.111801242236034,64.0,2767,5.62,5.65,3.5
0.71,2,3,4,63.25247079964061,59.0,2768,5.52,5.61,3.52
0.73,2,6,2,60.17094017094018,56.0,2768,5.83,5.87,3.52
0.7,2,6,2,61.10623353819139,58.0,2768,5.66,5.73,3.48
0.7,4,5,2,60.92254134029591,57.0,2768,5.73,5.76,3.5
0.71,3,6,1,61.6871704745167,59.0,2768,5.71,5.67,3.51
0.74,4,1,2,61.130136986301366,56.0,2769,5.82,5.86,3.57
0.71,3,6,3,62.5222024866785,60.0,2770,5.65,5.61,3.52
0.73,3,3,3,61.43226919758412,59.0,2770,5.83,5.76,3.56
0.76,2,4,2,62.93103448275862,57.0,2770,5.79,5.81,3.65
0.76,4,6,1,62.36003445305771,57.0,2770,5.78,5.83,3.62
0.71,4,4,2,60.67415730337078,56.0,2770,5.77,5.8,3.51
0.73,3,3,3,60.73567151411462,58.0,2770,5.87,5.82,3.55
0.73,3,3,4,61.52512998266898,58.0,2770,5.79,5.75,3.55
0.73,4,6,1,59.949195596951746,57.0,2770,5.92,5.89,3.54
0.73,3,3,3,59.20271416454624,59.0,2770,5.92,5.87,3.49
0.72,2,2,5,60.30927835051546,56.0,2771,5.81,5.83,3.51
0.73,2,4,2,61.670973298880284,60.0,2771,5.79,5.82,3.58
0.71,4,3,3,61.91304347826087,57.0,2771,5.73,5.77,3.56
0.79,4,4,1,61.90075693860388,55.0,2771,5.97,5.92,3.68
0.73,2,2,6,60.409556313993185,59.0,2772,5.83,5.89,3.54
0.8,2,4,1,60.96345514950167,57.0,2772,6.01,6.03,3.67
0.58,4,3,6,61.495844875346265,55.0,2772,5.39,5.44,3.33
0.58,4,4,6,61.6822429906542,56.0,2772,5.33,5.37,3.3
0.71,1,5,3,59.24657534246576,61.0,2772,5.8,5.88,3.46
0.75,4,6,1,61.328790459965944,56.0,2773,5.85,5.89,3.6
0.7,3,6,3,58.02575107296137,62.0,2773,5.87,5.78,3.38
1.17,2,0,0,60.160233066278224,61.0,2774,6.83,6.9,4.13
0.6,4,5,4,61.75115207373272,55.0,2774,5.41,5.44,3.35
0.7,4,5,2,62.6970227670753,55.0,2774,5.68,5.74,3.58
0.83,1,1,3,64.62063086104007,54.0,2774,5.85,5.88,3.79
0.74,2,4,3,61.340206185567006,61.0,2775,5.8,5.84,3.57
0.72,2,3,3,63.83731211317417,56.4,2776,5.62,5.69,3.61
0.71,3,5,3,62.6970227670753,58.0,2776,5.74,5.68,3.58
0.71,4,5,3,62.226117440841364,57.0,2776,5.79,5.62,3.55
0.54,4,5,5,61.59695817490495,56.0,2776,5.25,5.27,3.24
0.54,4,5,5,61.523809523809526,57.0,2776,5.24,5.26,3.23
0.72,4,3,2,61.90061028770707,56.0,2776,5.72,5.75,3.55
0.72,4,3,2,60.80964685615848,56.0,2776,5.79,5.82,3.53
0.72,1,3,3,59.62199312714777,60.5,2776,5.8,5.84,3.47
0.71,4,3,2,60.55363321799309,56.0,2776,5.8,5.76,3.5
0.7,2,6,4,62.686567164179095,58.0,2777,5.66,5.73,3.57
0.71,3,4,3,62.093227792436224,58.0,2777,5.67,5.7,3.53
0.71,2,4,3,62.84201235657546,57.0,2777,5.64,5.69,3.56
0.71,1,4,3,63.82222222222222,58.0,2777,5.61,5.64,3.59
0.71,1,4,3,57.77400169923534,60.0,2777,5.87,5.9,3.4
0.7,4,5,3,62.093227792436224,55.0,2777,5.7,5.67,3.53
0.7,3,5,3,61.14537444933921,60.0,2777,5.71,5.64,3.47
0.7,3,5,2,59.96533795493934,59.0,2777,5.79,5.75,3.46
0.7,3,5,2,61.17440841367222,57.0,2777,5.73,5.68,3.49
0.7,3,5,2,62.65486725663717,59.0,2777,5.67,5.63,3.54
0.7,3,5,2,60.999123575810685,57.0,2777,5.73,5.68,3.48
0.7,3,5,2,61.04347826086956,58.0,2777,5.78,5.72,3.51
0.7,4,5,2,61.43106457242582,57.0,2777,5.76,5.7,3.52
0.72,3,4,2,61.751951431049434,61.0,2777,5.82,5.71,3.56
0.7,2,5,2,59.860383944153575,63.0,2777,5.76,5.7,3.43
0.7,3,5,2,61.28182616330115,58.0,2777,5.71,5.68,3.49
0.7,3,5,2,60.46915725456125,58.0,2777,5.77,5.74,3.48
0.7,1,5,3,64.1139804096171,59.0,2777,5.64,5.59,3.6
0.98,0,2,1,67.88685524126457,60.0,2777,6.05,5.97,4.08
0.78,3,4,2,62.424763542562346,58.0,2777,5.83,5.8,3.63
0.7,2,5,2,63.18631863186318,60.0,2777,5.6,5.51,3.51
0.52,4,4,6,61.287223823246876,55.0,2778,5.19,5.22,3.19
0.73,2,2,3,60.891938250428815,56.0,2779,5.82,5.84,3.55
0.74,4,5,2,61.68384879725085,56.0,2779,5.84,5.8,3.59
0.7,2,4,3,63.58792184724689,57.0,2780,5.61,5.65,3.58
0.77,3,3,3,61.200338123415044,58.0,2780,5.9,5.93,3.62
0.71,4,4,3,62.10526315789474,54.0,2780,5.68,5.72,3.54
0.74,4,3,4,61.52527849185947,55.0,2780,5.81,5.86,3.59
0.7,4,3,4,61.3896218117854,59.0,2780,5.64,5.73,3.49
1.01,3,4,0,61.80392156862745,60.0,2781,6.39,6.36,3.94
0.77,4,2,2,62.16908625106746,56.0,2781,5.83,5.88,3.64
0.78,4,2,2,61.12510495382032,56.0,2781,5.92,5.99,3.64
0.72,2,2,4,60.569456427955124,63.0,2782,5.83,5.76,3.51
0.53,2,6,5,57.51633986928104,64.0,2782,5.34,5.37,3.08
0.76,4,3,3,61.317567567567565,56.0,2782,5.9,5.94,3.63
0.7,1,5,4,57.16753022452505,62.0,2782,5.81,5.77,3.31
0.7,3,5,4,62.903225806451616,60.0,2782,5.62,5.54,3.51
0.75,2,6,1,63.07558644656819,58.0,2782,5.78,5.73,3.63
0.72,4,6,2,60.81668114682884,57.0,2782,5.76,5.75,3.5
0.72,3,6,2,62.697022767075296,59.0,2782,5.73,5.69,3.58
0.7,3,6,2,62.78659611992945,60.0,2782,5.68,5.66,3.56
0.84,0,3,2,55.123113582208106,67.0,2782,6.39,6.2,3.47
0.75,3,4,2,61.38107416879796,59.0,2782,5.88,5.85,3.6
0.52,4,4,7,62.2093023255814,55.0,2783,5.14,5.18,3.21
0.72,2,4,3,63.04728546409807,54.0,2784,5.69,5.73,3.6
0.79,2,2,4,63.72132540356839,56.0,2784,5.85,5.92,3.75
0.72,2,4,3,63.6123348017621,58.0,2787,5.66,5.69,3.61
0.51,4,4,6,61.98830409356725,57.0,2787,5.11,5.15,3.18
